Use,InitSel,ID#,Name,Designation,IAU/aliases/other,Diameter,Mass,GM
n,n,904,Kerberos,2011P1,,,,
n,n,905,Styx,2012P1,,,,
y,y,999,Pluto,134340,,1.4768E+03,1.3070E+22,869.339078
n,n,3011,EM-L1,,Lagrange,,,
n,n,3012,EM-L2,,Lagrange,,,
n,n,3014,EM-L4,,Lagrange,,,
n,n,3015,EM-L5,,Lagrange,,,
n,n,-2,Mariner 2 (spacecraft),,,,,
n,n,-3,Mars Orbiter Mission (MOM) (spacec,,Mangalyaan,,,
n,n,-5,Planet-C (spacecraft),,VCO Akatsuki,,,
y,n,-6,Pioneer 6 (spacecraft),,,1.0000E+02,6.2300E+01,
n,n,-12,LADEE (spacecraft),,,,,
n,n,-18,LCROSS Shepherd (spacecraft),,SSC,,,
n,n,-18900,LCROSS Centaur Impactor (spacecraf,,,,,
y,n,-20,Pioneer 8 (spacecraft),,,1.0000E+02,6.5500E+01,
n,n,-21,SOHO (spacecraft),,,,,
n,n,-23,Pioneer 10 (spacecraft),,,,,
n,n,-24,Pioneer 11 (spacecraft),,,,,
n,n,-25,Lunar Prospector (LP) (spacecraft),,,,,
n,n,-29,Stardust (bus) (spacecraft),,NExT,,,
n,n,-29900,Stardust (SRC) (spacecraft),,,,,
n,n,-30,Deep Space 1 (spacecraft),,DS1 DS-1,,,
n,n,-31,Voyager 1 (spacecraft),,,,,
n,n,-32,Voyager 2 (spacecraft),,,,,
y,n,-37,Hayabusa 2 (spacecraft),,,1.0000E+02,5.9000E+02,
n,n,-39,Ouna (spacecraft),,,,,
n,n,-40,Clementine (spacecraft),,DSPSE,,,
n,n,-41,Mars Express (spacecraft),,MEX,,,
n,n,-45,Janus-A (spacecraft),,,,,
n,n,-47,Genesis (bus) (spacecraft),,,,,
n,n,-48,Hubble Space Telescope,,HST (spacecraft),,,
n,n,-47900,Genesis (SRC) (spacecraft),,,,,
n,n,-53,Mars Odyssey (spacecraft),,,,,
n,n,-530,Mars Pathfinder (spacecraft),,MPF,,,
n,n,-55,Ulysses (spacecraft),,,,,
n,n,-61,Juno (spacecraft),,,,,
n,n,-62,EMM (spacecraft),,Hope Emirates,,,
n,n,-64,OSIRIS-REx (spacecraft),,ORX,,,
n,n,-65,MarCO-A (spacecraft),,Wall-E,,,
n,n,-66,MarCO-B (spacecraft),,Eva,,,
n,n,-70,Deep Impact IMPACTOR (spacecraft),,,,,
n,n,-72,Janus-B (spacecraft),,,,,
n,n,-74,Mars Reconnaissance Orbiter (space,,MRO,,,
n,n,-76,Mars Science Laboratory (spacecraf,,Curiosity MSL,,,
n,n,-74900,MRO Centaur Stage (spacecraft),,,,,
n,n,-77,Galileo (spacecraft),,,,,
y,n,-78,DSCOVR (spacecraft),,Triana,1.0000E+02,5.7000E+02,
n,n,-79,Spitzer Space Telescope,,SST SIRTF (spacecraf,,,
n,n,-82,Cassini (spacecraft),,,,,
n,n,-84,Phoenix (spacecraft),,,,,
n,n,-85,LRO (spacecraft),,,,,
n,n,-86,Chandrayaan-1 (spacecraft),CH-1,,,,
n,n,-93,NEAR (spacecraft),,,,,
n,n,-95,TESS (spacecraft),,,,,
n,n,-96,Parker Solar Probe (spacecraft),,SPP PSP,,,
n,n,-98,New Horizons (spacecraft),,NH New_Horizons,,,
y,n,-111,ICE (spacecraft),,ISEE-3,1.0000E+02,3.9000E+02,
n,n,-121,BepiColombo (Spacecraft),,MPO MMO,,,
n,n,-130,Hayabusa (spacecraft),,Muses-C,,,
n,n,-140,Deep Impact Flyby - EPOXI (spacecr,,EPOXI,,,
n,n,-143,ExoMars16 TGO (spacecraft),,,,,
n,n,-144,Solar Orbiter (spacecraft),,Solo,,,
n,n,-150,Cassini Huygens (spacecraft),,,,,
n,n,-151,Chandra Observatory (spacecraft),,,,,
n,n,-152,Chandrayaan-2 (ORBITER spacecraft),CH2,CH-2,,,
n,n,-153,Chandrayaan-2 (LANDER spacecraft),CH2,CH-2 Vikram,,,
n,n,-159,Europa Clipper (spacecraft),,,,,
y,n,-163,WISE (spacecraft),,,1.0000E+02,7.5000E+02,
n,n,-165,WMAP (spacecraft),,,,,
y,n,-168,Mars2020 (spacecraft),,Perserverance Ingenu,1.0000E+02,2.0150E+03,
n,n,-170,James Webb Space Telescope (spacec,,JWST,,,
n,n,-176,GRAIL-SS Second Stage (spacecraft),,,,,
n,n,-177,GRAIL-A (spacecraft),,Ebb,,,
n,n,-178,Nozomi (spacecraft),,Planet-B,,,
n,n,-181,GRAIL-B (spacecraft),,Flow,,,
n,n,-189,InSight (spacecraft),,,,,
n,n,-192,THEMIS-B (spacecraft),,ARTEMIS-P1,,,
n,n,-193,THEMIS-C (spacecraft),,ARTEMIS-P2,,,
n,n,-198,INTEGRAL (spacecraft),,,,,
n,n,-202,MAVEN (spacecraft),,,,,
n,n,-203,Dawn (spacecraft),,,,,
n,n,-204,CONTOUR-A (SPACECRAFT FRAGMENT),,,,,
n,n,-205,CONTOUR-B (SPACECRAFT FRAGMENT),,,,,
n,n,-206,CONTOUR-C (SPACECRAFT FRAGMENT),,,,,
y,n,-226,Rosetta (spacecraft),,,1.0000E+02,3.0000E+03,
n,n,-227,Kepler (spacecraft),,,,,
y,n,-234,STEREO-A (spacecraft),,AHEAD,1.0000E+02,6.2000E+02,
y,n,-235,STEREO-B (spacecraft),,BEHIND,1.0000E+02,6.2000E+02,
n,n,-234900,STEREO Third Stage (spacecraft),,,,,
n,n,-236,MESSENGER (spacecraft),,,,,
n,n,-248,Venus Express (spacecraft),,VEX,,,
n,n,-253,Opportunity (spacecraft),,MER-B MER-1,,,
n,n,-254,Spirit (spacecraft),,MER-A MER-2,,,
n,n,-344,Galileo Probe (spacecraft),,,,,
y,n,-486,Herschel Space Observatory (spacec,,,1.0000E+02,3.3000E+03,
y,n,-489,Planck Space Observatory (spacecra,,,1.0000E+02,1.8000E+03,
n,n,-557,Spektr-R Observatory (spacecraft),,,,,
n,n,-610,Juno Centaur Stage (spacecraft),,,,,
n,n,-640,Infrared Space Observatory (spacec,,ISO,,,
n,n,-760,MSL Centaur Stage (spacecraft),,,,,
n,n,-997,NEOCP 6Q0B44E,,B44E,,,
n,n,-998,NEOCP J002E3,,,,,
n,n,-23230,ETS-6 (spacecraft),,Kiku-6,,,
n,n,-910010,Eta-Aquariids_300,,,,,
n,n,-910011,Eta-Aquariids_500,,,,,
n,n,-910012,Eta-Aquariids_1000,,,,,
n,n,-910013,Eta-Aquariids_2000,,,,,
n,n,-399050,2015 PDC (simulation),,,,,
n,n,-399080,Apollo 8 S-IVB (spacecraft),,,,,
n,n,-399090,Apollo 9 S-IVB (spacecraft),,,,,
n,n,-399100,Apollo 10 S-IVB (spacecraft),,,,,
n,n,-399101,Apollo 10 LM (spacecraft),,Snoopy,,,
n,n,-399110,Apollo 11 S-IVB (spacecraft),,,,,
n,n,-399120,Apollo 12 S-IVB (spacecraft),,,,,
n,n,-100836,Vela-2A (spacecraft),,1964-040A,,,
n,n,-101361,LCS-1 (spacecraft),,1965-034C,,,
n,n,-102770,Titan-3C RB (spacecraft),,1967-040F,,,
n,n,-106197,IMP-7 (spacecraft),,1972-073A,,,
n,n,-107964,Atlas-Agena_RB (spacecraft),,1975-055B,,,
n,n,-108366,GOES-1 (spacecraft),,1975-100A,,,
n,n,-108820,LAGEOS-1 (spacecraft),,1976-039A,,,
n,n,-111353,FLTSATCOM 2 (spacecraft),,1979-038A,,,
n,n,-112065,SBS-1 (spacecraft),,1980-091A,,,
n,n,-112472,GOES-5 (spacecraft),,1981-049A,,,
n,n,-113269,WESTAR-5 (spacecraft),,1982-058A,,,
n,n,-113631,SATCOM-C5 (spacecraft),,1982-105A RCA-SATCOM,,,
n,n,-113901,ASTRON (spacecraft),,1983-020A,,,
n,n,-114050,GOES-6 (spacecraft),,1983-041A,,,
n,n,-115993,AUSSAT-1 (spacecraft),,1985-076B OPTUS-A1,,,
n,n,-116275,AUSSAT-2 (spacecraft),,1985-109C OPTUS-A2,,,
n,n,-116908,AJISAI (spacecraft),,1986-061A,,,
n,n,-119548,TDRS-3 (spacecraft),,1988-091B,,,
n,n,-120452,NAVSTAR-18 (spacecraft),,1990-008A,,,
n,n,-122087,AUSSAT-B1 (spacecraft),,1992-054A OPTUS-B1,,,
n,n,-122195,LAGEOS-2 (spacecraft),,1992-070B,,,
n,n,-122911,Solidaridad-1 (spacecraft),,1993-073A,,,
n,n,-122927,Telstar-401 (spacecraft),,1993-077A,,,
n,n,-123051,GOES-8 (spacecraft),,1994-022A,,,
n,n,-123227,AUSSAT-B3 (spacecraft),,1994-055A OPTUS-B3,,,
n,n,-123553,AMSC-1 (spacecraft),,1995-019A,,,
n,n,-123581,GOES-9 (spacecraft),,1995-025A,,,
n,n,-123754,Echostar-1 (spacecraft),,1995-073A,,,
n,n,-123846,MSAT-1 (spacecraft),,1996-022A,,,
n,n,-124313,Echostar-2 (spacecraft),,1996-055A,,,
n,n,-124720,HALCA (spacecraft),Muses-B,1997-005A Haruka VSO,,,
n,n,-124786,GOES-10 (spacecraft),,1997-019A,,,
n,n,-125126,HGS-1 (spacecraft),Asiasat-3,1997-086A PAS-22,,,
n,n,-125544,International Space Station (space,,1998-067A ISS,,,
n,n,-125789,QuikSCAT (spacecraft),,1999-034A,,,
n,n,-125989,XMM-Newton (spacecraft),,1999-066A,,,
n,n,-125994,TERRA (spacecraft),,EOS-1 1999-068A,,,
n,n,-126352,GOES-11 (spacecraft),,2000-022A,,,
n,n,-126402,Echostar-6 (spacecraft),,2000-038A,,,
n,n,-126407,NAVSTAR-48 (spacecraft),,2000-040A,,,
n,n,-126619,EO-1 (spacecraft),,2000-075A,,,
n,n,-126639,AMC-8 (spacecraft),,GE-8 2000-081B,,,
n,n,-126824,Intelsat-901 (spacecraft),,2001-024A,,,
n,n,-126871,GOES-12 (spacecraft),,2001-031A,,,
n,n,-127391,GRACE-1 (spacecraft),,2002-012A,,,
n,n,-127424,Aqua (spacecraft),,2002-022A,,,
n,n,-127783,GALEX (spacecraft),,,,,
n,n,-128376,Aura (spacecraft),,2004-026A,,,
n,n,-128378,Anik-F2 (spacecraft),,2004-027A,,,
n,n,-128485,Swift Observatory (spacecraft),,2004-047A,,,
n,n,-128868,Anik-F1R (spacecraft),,2005-036A,,,
n,n,-128884,Galaxy-15 (spacecraft),,2005-041A,,,
n,n,-129107,Cloudsat (spacecraft),,2006-016B,,,
n,n,-129494,DirecTV-9S (spacecraft),,2006-043A,,,
n,n,-129520,XM-4 (spacecraft),,2006-049A,,,
n,n,-132487,Thor-5 (spacecraft),,2008-006A Thor-2R,,,
n,n,-133105,Jason-2 (spacecraft),,2008-032A,,,
n,n,-133207,Echostar-11 (spacecraft),,2008-035A,,,
n,n,-134381,Kepler Booster (Third Stage) (spac,,,,,
n,n,-135491,GOES-14 (spacecraft),,2009-033A,,,
n,n,-136032,NSS-12 (spacecraft),,2009-058A,,,
n,n,-136134,,,,,,
n,n,-136395,Solar Dynamics Observatory (spacec,,2010-005A SDO,,,
n,n,-136499,Echostar-14 (spacecraft),,2010-010A,,,
n,n,-137218,SKYTERRA-1 (spacecraft),,2010-061A,,,
n,n,-137820,Tiangong-1 (spacecraft),,2011-053A,,,
n,n,-138250,BEIDOU-M3 (spacecraft),,2012-018A,,,
n,n,-138358,NuSTAR (spacecraft),,2012-031A SMEX-11,,,
n,n,-138551,Echostar-17 (spacecraft),,2012-035A,,,
n,n,-138833,NAVSTAR-67 (spacecraft),,2012-053A,,,
n,n,-139089,NEOSsat (spacecraft),,2013-009D,,,
n,n,-139166,NAVSTAR-68 (spacecraft),,2013-023A,,,
n,n,-139459,Chang'e_3_booster (spacecraft),,2013-070B,,,
n,n,-139479,Gaia (spacecraft),,,,,
n,n,-140059,OCO-2 (spacecraft),,2014-035A,,,
n,n,-140376,SMAP (spacecraft),,2015-003A,,,
n,n,-140482,MMS-1 (spacecraft),,2015-011A,,,
n,n,-140483,MMS-2 (spacecraft),,2015-011B,,,
n,n,-140484,MMS-3 (spacecraft),,2015-011C,,,
n,n,-140485,MMS-4 (spacecraft),,2015-011D,,,
n,n,-140663,DirecTV-15 (spacecraft),,2015-026A,,,
n,n,-140947,2015-056B (spacecraft),,,,,
n,n,-141043,LISA Pathfinder (spacecraft),,LPF,,,
n,n,-141240,Jason-3 (spacecraft),,2016-002A,,,
n,n,-141748,Intelsat-33E (spacecraft),,2016-053A,,,
n,n,-143205,SpaceX Roadster (spacecraft),,Tesla Starman,,,
n,n,-143241,GSAT-6A (spacecraft),,2018-027A,,,
n,n,-143846,Chang'e_4_booster (spacecraft),,2018-103B,,,
n,n,-999742,LISA Pathfinder Propulsion Module,,PRM,,,
n,n,999787,WT1190F,,,,,
n,n,-937001,2017 PDC (simulation),,PDC17,,,
n,n,-937002,2017 PDCa (simulation),,PDC17a,,,
n,n,-937011,2019 PDC (simulation),,PDC19,,,
n,n,-937012,c2019 PDC (simulation),,cPDC19 PDC19-c,,,
n,n,-937014,2021 PDC (simulation),,PDC21,,,
n,n,-937021,TTX19 (simulation),,,,,
n,n,-937022,TTX19a (simulation),,,,,
n,n,1000012,,,,,,
n,n,1000041,Hartley 2,103P,,,,
n,n,1000093,,,,,,
n,n,1000107,,,,,,
n,n,1003228,Siding Spring,2013 A1,,,,
n,n,9037734,ISON_NG1,,,,,
n,n,9037735,ISON_NG2,,,,,
n,n,2000001,,,,,,
n,n,2000004,,,,,,
n,n,2000253,,,,,,
n,n,2000433,,,,,,
n,n,2006489,Golevka,1991 JX,6489,,,
n,n,2101955,,,,,,
n,n,2002867,,,,,,
n,n,2099942,,,,,,
n,n,3430291,2008 TC3,,,,,
n,n,2486958,Ultima Thule,3713011,,,,
n,n,9901489,2018_AV2 (spacecraft),,,,,
n,n,9901490,9O0DC57 (spacecraft),,,,,
n,n,9901885,9U01FF6 (spacecraft),,,,,
n,n,-9901491,Tianwen-1 (spacecraft),,,,,
n,n,-54054450,1966-084B,,2020 SO,,,
